Git_Contributor_ID,combined_score,candidate_priority,Git_UserName,target,global_rank
MDQ6VXNlcjE0MTQ2NTYw,0.999983274936676,1,HcySunYang,1,1
MDQ6VXNlcjE0MzA5Nzcy,0.9999870300292969,1,akuegel,1,2
MDQ6VXNlcjE0NjIyODI=,0.9999755859375,1,crutkas,1,3
MDQ6VXNlcjE1MTM0ODg1,0.9999927520751953,1,davemachado,1,4
MDQ6VXNlcjE1MjEzMA==,0.9999981164932251,1,diogocampos,1,5
MDQ6VXNlcjE1ODEyNjIw,0.9999927520751953,1,lk-geimfari,1,6
MDQ6VXNlcjE2MDE3NjQ4,0.9999956130981446,1,satya-vinay,1,7
MDQ6VXNlcjE2MDM1NDQy,0.9999934673309326,1,prateekiiest,1,8
MDQ6VXNlcjE2MTU0MjA0,0.9999970436096192,1,bauripalash,1,9
MDQ6VXNlcjE2NTU5Njg=,0.9999809503555298,1,toddmotto,1,10
MDQ6VXNlcjE2ODI0NzAy,0.9999850034713745,1,caisq,1,11
MDQ6VXNlcjE3MjU0NzU=,0.9999899506568909,1,qianlifeng,1,12
MDQ6VXNlcjE3MjgwMA==,0.9999915599822998,1,nornagon,1,13
MDQ6VXNlcjE3MzY1OTU=,0.9999757051467896,1,danistefanovic,1,14
MDQ6VXNlcjE3MzgxNjY2,0.9999933481216431,1,julien-deramond,1,15
MDQ6VXNlcjE3Njg3MTg=,0.9999982953071594,1,zackgao,1,16
MDQ6VXNlcjE3ODYzMjYx,0.9999947786331177,1,agusnavce,1,17
MDQ6VXNlcjE3OTQwOTk=,0.40000010916611617,1,jrieken,0,18
MDQ6VXNlcjE4MTYxMDE=,0.9999970436096192,1,Kovah,1,19
MDQ6VXNlcjE4NDQzNzQz,0.9999988317489624,1,RaenonX,1,20
MDQ6VXNlcjE4NDk4Mw==,0.9999995470046997,1,gcmalloc,1,21
MDQ6VXNlcjE5MjY1ODQ=,0.40024829313042576,1,isidorn,0,22
MDQ6VXNlcjE5NDEyMjE=,0.9999947786331177,1,ncanceill,1,23
MDQ6VXNlcjEwMTEx,0.9999962091445923,1,mattn,1,24
MDQ6VXNlcjEwNDAzMA==,0.9341596007347107,1,rsc,0,25
MDQ6VXNlcjEwNDcwODky,0.9999659299850464,1,Z-fly,1,26
MDQ6VXNlcjEwNjgyNDU=,0.9999922752380371,1,jhermann,1,27
MDQ6VXNlcjEwNzQzODc5,0.9996701717376709,1,wojtek-t,1,28
MDQ6VXNlcjEwOTUzMjg=,0.9999462008476258,1,dvyukov,1,29
MDQ6VXNlcjExMDA0NDA=,0.9999982953071594,1,hmartinez82,1,30
MDQ6VXNlcjExMTYyMzA3,0.9999969840049744,1,cipolleschi,1,31
MDQ6VXNlcjExMzA5MjE=,0.9999958515167237,1,serima,1,32
MDQ6VXNlcjExNjUxMzg=,0.9999971628189087,1,magul,1,33
MDQ6VXNlcjExOTI3ODA=,0.9998917818069458,1,haacked,1,34
MDQ6VXNlcjExOTIyNjU=,0.999926769733429,1,yifeif,1,35
MDQ6VXNlcjExOTQwMjA1,0.999996030330658,1,rishabh115,1,36
MDQ6VXNlcjEyMDgxMTcz,0.9999968647956848,1,jasonlu0117,1,37
MDQ6VXNlcjEyMjE1OTgy,0.9999868512153626,1,KyleBing,1,38
MDQ6VXNlcjEyMjI4ODA=,0.9999995470046997,1,dirkf,1,39
MDQ6VXNlcjEyMjc3NjM=,0.9616044402122498,1,goderbauer,1,40
MDQ6VXNlcjEyODIxOTU2,0.4001302865566686,1,mjbvz,0,41
MDQ6VXNlcjEzMTUxMDE=,0.9999847650527954,1,yangshun,1,42
MDQ6VXNlcjEzMzMzNTc4,0.9999971628189087,1,itsmingjie,1,43
MDQ6VXNlcjEzNDU0MDEx,0.9999968051910401,1,tuvtran,1,44
MDQ6VXNlcjEzNjY2NTQ=,0.9999178886413574,1,koppor,1,45
MDQ6VXNlcjEzOTA3MDk=,0.9982717275619507,1,poteto,1,46
MDQ6VXNlcjI0NTQzNQ==,0.9999888181686402,1,caarlos0,1,47
MDQ6VXNlcjI0OTg3NTAx,0.9999892950057984,1,happyvictorwu,1,48
MDQ6VXNlcjI1MDg2,0.9999923944473267,1,RobLoach,1,49
MDQ6VXNlcjI1MTI5Mg==,0.9999675989151001,1,jmorganca,1,50
