Git_Contributor_ID,combined_score,candidate_priority,Git_UserName,target,global_rank
MDQ6VXNlcjE0MTQ2NTYw,0.9997986793518067,1,HcySunYang,1,1
MDQ6VXNlcjE0NjIyODI=,0.9995252132415772,1,crutkas,1,2
MDQ6VXNlcjE1MDk4MzE=,0.9998464226722718,1,sahrens,1,3
MDQ6VXNlcjE1MTk4NzA=,0.9989063382148743,1,trueadm,1,4
MDQ6VXNlcjE1MjEzMA==,0.9999535322189331,1,diogocampos,1,5
MDQ6VXNlcjE1ODEyNjIw,0.999852979183197,1,lk-geimfari,1,6
MDQ6VXNlcjE2MDE3NjQ4,0.9999422073364258,1,satya-vinay,1,7
MDQ6VXNlcjE2MTU0MjA0,0.9999650359153748,1,bauripalash,1,8
MDQ6VXNlcjE2MzQyNDc=,0.9998819470405579,1,andrej2704,1,9
MDQ6VXNlcjE2NDgwNg==,0.999915087223053,1,curiousstranger,1,10
MDQ6VXNlcjE2NTU5Njg=,0.9999611020088196,1,toddmotto,1,11
MDQ6VXNlcjE2ODI0NzAy,0.9994055271148682,1,caisq,1,12
MDQ6VXNlcjE3MjU0NzU=,0.9999389290809632,1,qianlifeng,1,13
MDQ6VXNlcjE3MjgwMA==,0.9991726517677307,1,nornagon,1,14
MDQ6VXNlcjE3MzY1OTU=,0.9999680757522583,1,danistefanovic,1,15
MDQ6VXNlcjE3MzgxNjY2,0.9996343493461609,1,julien-deramond,1,16
MDQ6VXNlcjE3ODYzMjYx,0.9998849868774414,1,agusnavce,1,17
MDQ6VXNlcjE3OTQwOTk=,0.4000015018233626,1,jrieken,0,18
MDQ6VXNlcjE4MTYxMDE=,0.9999410748481751,1,Kovah,1,19
MDQ6VXNlcjE5MDg4OTg=,0.9999076962471009,1,dstftw,1,20
MDQ6VXNlcjE5MjY1ODQ=,0.404365807864815,1,isidorn,0,21
MDQ6VXNlcjE5MjcyMw==,0.9999934077262879,1,hoganlong,1,22
MDQ6VXNlcjE5Mzc2ODk=,0.9999506711959839,1,yan12125,1,23
MDQ6VXNlcjE5NDEyMjE=,0.9999076366424561,1,ncanceill,1,24
MDQ6VXNlcjEwMTAyNjE2,0.9999916791915894,1,Sea-n,1,25
MDQ6VXNlcjEwMTEx,0.9998713374137879,1,mattn,1,26
MDQ6VXNlcjEwNDcwODky,0.999813461303711,1,Z-fly,1,27
MDQ6VXNlcjEwNzQzODc5,0.9941965579986572,1,wojtek-t,1,28
MDQ6VXNlcjExMTYyMzA3,0.9999182462692261,1,cipolleschi,1,29
MDQ6VXNlcjExMzA5MjE=,0.9999219417572022,1,serima,1,30
MDQ6VXNlcjExNjUxMzg=,0.9999317169189453,1,magul,1,31
MDQ6VXNlcjExOTI3ODA=,0.9997975468635559,1,haacked,1,32
MDQ6VXNlcjExOTIyNjU=,0.9904791951179505,1,yifeif,1,33
MDQ6VXNlcjExOTQwMjA1,0.9999237298965454,1,rishabh115,1,34
MDQ6VXNlcjEyMjE1OTgy,0.9997799038887024,1,KyleBing,1,35
MDQ6VXNlcjEyMjI4ODA=,0.9999294519424439,1,dirkf,1,36
MDQ6VXNlcjEyMjc3NjM=,0.7807355165481568,1,goderbauer,1,37
MDQ6VXNlcjEyMjkyMDQ3,0.9987564325332642,1,eps1lon,1,38
MDQ6VXNlcjEyNDg2Njg=,0.9999630689620972,1,mknyszek,1,39
MDQ6VXNlcjEyODIxOTU2,0.4013097127666697,1,mjbvz,0,40
MDQ6VXNlcjEzMTUxMDE=,0.9999805927276612,1,yangshun,1,41
MDQ6VXNlcjEzMzQ4Mzc4,0.9999923944473267,1,msfjarvis,1,42
MDQ6VXNlcjEzNDU0MDEx,0.99996896982193,1,tuvtran,1,43
MDQ6VXNlcjEzNjE4ODYw,0.9999244451522827,1,appleJax,1,44
MDQ6VXNlcjEzODU5Mzk1,0.9991253852844239,1,csigs,1,45
MDQ6VXNlcjI0MjgzOTcz,0.999886953830719,1,nlchjian,1,46
MDQ6VXNlcjI0NDI5MDM2,0.9999611020088196,1,cchroot,1,47
MDQ6VXNlcjI0NTQzNQ==,0.9998886227607727,1,caarlos0,1,48
MDQ6VXNlcjI0OTg3NTAx,0.9999568104743958,1,happyvictorwu,1,49
MDQ6VXNlcjI1MDg2,0.9999496579170227,1,RobLoach,1,50
